Opponent,Line,Our_Score,Their_Score,Event_Type,Act,Passer,Receiver,Defender,Player_0,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player 7,Elapsed Time (secs)
vs Thunderbirds,O,4,1,Offense,Catch,Jack,Shiel,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,783
vs Thunderbirds,O,4,1,Offense,Catch,Shiel,Adrian,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,787
vs Thunderbirds,O,4,1,Offense,Drop,Adrian,Danny,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,791
vs Thunderbirds,O,4,1,Defense,Throwaway,,,Anonymous,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,795
vs Thunderbirds,O,4,1,Offense,Catch,Matzuka,Fergus,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,800
vs Thunderbirds,O,4,1,Offense,Catch,Fergus,Danny,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,803
vs Thunderbirds,O,4,1,Offense,Catch,Danny,Fergus,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,806
vs Thunderbirds,O,4,1,Offense,Goal,Fergus,Cullen,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,812
vs Thunderbirds,D,4,2,Defense,Pull,,,Goose,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,865
vs Thunderbirds,D,4,2,Defense,Goal,,,Anonymous,Kaufmann,Goose,JRob,DW,Slymer,Matzuka,Sheehan,,896
vs Thunderbirds,O,5,2,Offense,Catch,Adrian,Fergus,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,945
vs Thunderbirds,O,5,2,Offense,Catch,Fergus,Shiel,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,955
vs Thunderbirds,O,5,2,Offense,Catch,Shiel,Adrian,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,962
vs Thunderbirds,O,5,2,Offense,Throwaway,Adrian,Anonymous,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,967
vs Thunderbirds,O,5,2,Defense,Throwaway,,,Anonymous,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1032
vs Thunderbirds,O,5,2,Offense,Throwaway,Cullen,Anonymous,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1040
vs Thunderbirds,O,5,2,Defense,D,,,Shiel,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1080
vs Thunderbirds,O,5,2,Offense,Catch,Matzuka,Kennedy,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1175
vs Thunderbirds,O,5,2,Offense,Catch,Kennedy,Goose,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1179
vs Thunderbirds,O,5,2,Offense,Throwaway,Goose,Anonymous,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1186
vs Thunderbirds,O,5,2,Defense,D,,,J Silver,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1221
vs Thunderbirds,O,5,2,Offense,Catch,Matzuka,Kennedy,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1227
vs Thunderbirds,O,5,2,Offense,Catch,Kennedy,Matzuka,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1231
vs Thunderbirds,O,5,2,Offense,Catch,Matzuka,Slymer,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1235
vs Thunderbirds,O,5,2,Offense,Catch,Slymer,J Silver,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1239
vs Thunderbirds,O,5,2,Offense,Catch,J Silver,Matzuka,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1243
vs Thunderbirds,O,5,2,Offense,Catch,Matzuka,Kennedy,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1247
vs Thunderbirds,O,5,2,Offense,Catch,Kennedy,Matzuka,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1251
vs Thunderbirds,O,5,2,Offense,Catch,Matzuka,Kennedy,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1255
vs Thunderbirds,O,5,2,Offense,Catch,Kennedy,Kaufmann,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1259
vs Thunderbirds,O,5,2,Offense,Goal,Kaufmann,Kennedy,,Kaufmann,J Silver,Adrian,Jack,DW,Slymer,Cullen,Matzuka,1263
vs Thunderbirds,D,5,2,Defense,Pull,,,Goose,Bob,Goose,Max,DW,Slymer,Matzuka,Sheehan,,1323
vs Thunderbirds,D,5,2,Defense,Throwaway,,,Anonymous,Bob,Goose,Max,DW,Slymer,Matzuka,Sheehan,,1333
vs Thunderbirds,D,5,2,Offense,Throwaway,Goose,Anonymous,,Bob,Goose,Max,DW,Slymer,Matzuka,Sheehan,,1341
vs Thunderbirds,D,5,2,Defense,D,,,Matzuka,Bob,Goose,Max,DW,Slymer,Matzuka,Sheehan,,1391
vs Thunderbirds,D,5,2,Offense,Catch,Matzuka,DW,,Bob,Goose,Max,DW,Slymer,Matzuka,Sheehan,,1397
vs Thunderbirds,D,5,2,Offense,Catch,DW,Goose,,Bob,Goose,Max,DW,Slymer,Matzuka,Sheehan,,1401
vs Thunderbirds,D,5,2,Offense,Throwaway,Goose,Anonymous,,Bob,Goose,Max,DW,Slymer,Matzuka,Sheehan,,1404
vs Thunderbirds,D,5,2,Cessation,EndOfFirstQuarter,,,,Bob,Goose,Max,DW,Slymer,Matzuka,Sheehan,,1410
vs Thunderbirds,O,5,3,Offense,Throwaway,Anonymous,Anonymous,,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1559
vs Thunderbirds,O,5,3,Defense,Throwaway,,,Anonymous,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1593
vs Thunderbirds,O,5,3,Offense,Catch,Kennedy,J Silver,,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1615
vs Thunderbirds,O,5,3,Offense,Catch,J Silver,Kennedy,,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1618
vs Thunderbirds,O,5,3,Offense,Catch,Kennedy,MattSteg,,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1623
vs Thunderbirds,O,5,3,Offense,Catch,MattSteg,Matzuka,,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1627
vs Thunderbirds,O,5,3,Offense,Catch,Matzuka,JRob,,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1631
vs Thunderbirds,O,5,3,Offense,Catch,JRob,Matzuka,,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1635
vs Thunderbirds,O,5,3,Offense,Catch,Matzuka,JRob,,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1639
vs Thunderbirds,O,5,3,Offense,Catch,JRob,Kennedy,,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1644
vs Thunderbirds,O,5,3,Offense,Catch,Kennedy,Matzuka,,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1647
vs Thunderbirds,O,5,3,Offense,Drop,Matzuka,Kennedy,,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1652
vs Thunderbirds,O,5,3,Defense,Goal,,,Anonymous,J Silver,MattSteg,Kennedy,JRob,JSS,Matzuka,Jimmy,,1672
